condition,drug,indication,type,reviews,effectiveness,ease_of_use,satisfaction,effectiveness_cat,ease_of_use_cat,satisfaction_cat,performance,weighted_performance,disease_class,review_category
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1,2.0,2.0,2.0,low,low,Very Low,2.0,2.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Cefaclor,Off Label,RX,1,4.0,4.0,4.0,medium,medium,High,4.0,4.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Ampicillin Sodium,On Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,1,2.0,5.0,1.0,low,high,Very Low,2.6666666666666665,2.4000000000000004,Infectious Disease,low
Bacterial Urinary Tract Infection,Aztreonam,On Label,RX,1,3.0,2.0,3.0,low,low,Low,2.6666666666666665,2.8,Infectious Disease,low
Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,Off Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,1,4.0,5.0,4.0,medium,high,High,4.333333333333333,4.2,Infectious Disease,low
Bacterial Urinary Tract Infection,Cefazolin In Dextrose (Iso-Os),On Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Infectious Disease,low
Bacterial Urinary Tract Infection,"Ceftriaxone In Dextrose,Iso-Os",On Label,RX,1,5.0,2.0,5.0,high,low,Very High,4.0,4.4,Infectious Disease,low
Bacterial Urinary Tract Infection,Ampicillin Sodium,On Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Ampicillin,On Label,RX,1,3.0,2.0,1.0,low,low,Very Low,2.0,2.4,Infectious Disease,low
Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Imipenem-Cilastatin,On Label,RX,1,5.0,3.0,4.0,high,low,High,4.0,4.4,Infectious Disease,low
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,1,3.0,3.0,2.0,low,low,Very Low,2.6666666666666665,2.8,Infectious Disease,low
Bacterial Urinary Tract Infection,Cefuroxime Sodium,On Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Cefepime,On Label,RX,1,4.0,2.0,4.0,medium,low,High,3.3333333333333335,3.5999999999999996,Infectious Disease,low
Bacterial Urinary Tract Infection,Cefazolin In Dextrose (Iso-Os),On Label,RX,1,3.0,5.0,1.0,low,high,Very Low,3.0,3.0,Infectious Disease,low
Bacterial Urinary Tract Infection,Ciprofloxacin In 5 % Dextrose,On Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Infectious Disease,low
Biliary Calculus,Ursodiol,On Label,RX,54,3.95,4.45,3.82,medium,high,High,4.073333333333333,4.024,Gastrointestinal,high
Biliary Calculus,Ursodiol,Off Label,RX,34,4.17,4.52,4.0,high,high,High,4.2299999999999995,4.2059999999999995,Gastrointestinal,high
Biliary Calculus,Ursodiol,On Label,RX,21,4.57,4.71,4.29,high,high,High,4.523333333333333,4.542,Gastrointestinal,high
Biliary Calculus,Ursodiol,Off Label,RX,11,4.38,4.13,4.5,high,high,Very High,4.336666666666667,4.354,Gastrointestinal,medium
Chickenpox,Valacyclovir,On Label,RX,350,4.29,4.6,4.15,high,high,High,4.346666666666667,4.324,Infectious Disease,high
Chickenpox,Valacyclovir,On Label,RX,146,3.96,4.16,3.61,medium,high,High,3.91,3.93,Infectious Disease,high
Chickenpox,Acyclovir,On Label,RX,47,4.25,3.5,3.75,high,medium,High,3.8333333333333335,4.0,Infectious Disease,high
Chickenpox,Acyclovir Sodium,On Label,RX,3,5.0,4.5,5.0,high,high,Very High,4.833333333333333,4.9,Infectious Disease,medium
Colorectal Cancer,Fluorouracil,On Label,RX,5,3.0,1.0,3.0,low,low,Low,2.3333333333333335,2.5999999999999996,Oncology,medium
Depression,Amitriptyline,On Label,RX,1126,3.53,4.29,3.15,medium,high,Medium,3.6566666666666667,3.606,Psychiatric,high
Depression,Nortriptyline,On Label,RX,452,3.34,4.01,3.02,medium,high,Medium,3.4566666666666666,3.41,Psychiatric,high
Depression,Amitriptyline,On Label,RX,409,3.36,4.15,3.02,medium,high,Medium,3.51,3.45,Psychiatric,high
Depression,Doxepin,On Label,RX,241,3.71,4.52,3.4,medium,high,Medium,3.876666666666667,3.81,Psychiatric,high
Depression,Fluvoxamine,Off Label,RX,139,3.61,4.12,3.35,medium,high,Medium,3.6933333333333334,3.66,Psychiatric,high
Depression,Nortriptyline,On Label,RX,120,3.31,3.89,3.05,medium,medium,Medium,3.4166666666666665,3.374,Psychiatric,high
Depression,Imipramine Hcl,On Label,RX,103,3.21,3.58,3.04,medium,medium,Medium,3.276666666666667,3.25,Psychiatric,high
Depression,Phenelzine,On Label,RX,88,4.36,4.28,4.2,high,high,High,4.28,4.312,Psychiatric,high
Depression,Fluvoxamine,Off Label,RX,59,3.83,4.07,3.59,medium,high,High,3.83,3.83,Psychiatric,high
Depression,Clomipramine,Off Label,RX,58,3.71,3.89,3.29,medium,medium,Medium,3.6300000000000003,3.662,Psychiatric,high
Depression,Clomipramine,Off Label,RX,58,3.67,4.18,3.39,medium,high,Medium,3.7466666666666666,3.7159999999999997,Psychiatric,high
Depression,Fluvoxamine,Off Label,RX,53,3.73,4.33,3.7,medium,high,High,3.9200000000000004,3.8440000000000003,Psychiatric,high
Depression,Desipramine,On Label,RX,48,3.18,4.53,2.88,medium,high,Low,3.53,3.39,Psychiatric,high
Depression,Amitriptyline,On Label,RX,33,2.8,3.9,2.4,low,medium,Low,3.033333333333333,2.94,Psychiatric,high
Depression,Doxepin,On Label,RX,32,3.13,4.0,3.0,medium,medium,Low,3.3766666666666665,3.278,Psychiatric,high
Depression,Desipramine,On Label,RX,23,4.0,4.23,3.46,medium,high,Medium,3.896666666666667,3.938,Psychiatric,high
Depression,Imipramine Pamoate,On Label,RX,22,2.82,3.55,2.82,low,medium,Low,3.063333333333333,2.966,Psychiatric,high
Depression,Imipramine Pamoate,On Label,RX,16,3.45,4.45,3.0,medium,high,Low,3.6333333333333333,3.56,Psychiatric,medium
Depression,Nortriptyline,On Label,RX,15,3.0,4.0,2.88,low,medium,Low,3.293333333333333,3.1759999999999997,Psychiatric,medium
Depression,Protriptyline,On Label,RX,11,3.63,4.75,3.63,medium,high,High,4.003333333333333,3.854,Psychiatric,medium
Depression,Protriptyline,On Label,RX,8,3.33,4.5,3.5,medium,high,Medium,3.776666666666667,3.5980000000000003,Psychiatric,medium
Depression,Maprotiline,On Label,RX,7,3.2,3.4,3.2,medium,medium,Medium,3.266666666666667,3.24,Psychiatric,medium
Depression,Phenelzine,On Label,RX,6,3.0,3.5,2.5,low,medium,Low,3.0,3.0,Psychiatric,medium
Depression,Maprotiline,On Label,RX,6,4.5,3.25,4.25,high,medium,High,4.0,4.199999999999999,Psychiatric,medium
Depression,Doxepin,On Label,RX,4,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Psychiatric,medium
Depression,Amoxapine,On Label,RX,4,4.0,5.0,3.5,medium,high,Medium,4.166666666666667,4.1,Psychiatric,medium
Depression,Amoxapine,On Label,RX,2,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Psychiatric,low
Depression,Amitriptyline,On Label,RX,1,3.0,4.0,3.0,low,medium,Low,3.3333333333333335,3.1999999999999997,Psychiatric,low
Diverticulitis Of Gastrointestinal Tract,Metronidazole,Off Label,RX,629,3.9,3.22,3.11,medium,medium,Medium,3.41,3.606,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,"Ciprofloxacin Hcl, Ciprofloxacin",Off Label,RX,627,3.06,3.18,2.12,medium,medium,Low,2.7866666666666666,2.896,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,580,3.03,2.88,2.16,medium,low,Low,2.69,2.8259999999999996,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Metronidazole,Off Label,RX,562,3.78,3.09,2.73,medium,medium,Low,3.1999999999999997,3.4319999999999995,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Ciprofloxacin,Off Label,RX,538,3.59,3.78,2.75,medium,medium,Low,3.373333333333333,3.46,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Amoxicillin-Pot Clavulanate,Off Label,RX,437,3.26,3.23,2.42,medium,medium,Low,2.97,3.086,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,256,2.95,3.2,2.14,low,medium,Low,2.7633333333333336,2.838,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,239,3.19,3.25,2.28,medium,medium,Low,2.9066666666666663,3.02,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,144,3.0,3.72,2.62,low,medium,Low,3.1133333333333333,3.068,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Amoxicillin-Pot Clavulanate,Off Label,RX,140,2.74,3.04,2.12,low,medium,Low,2.6333333333333333,2.676,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,138,3.0,2.83,2.38,low,low,Low,2.736666666666667,2.8419999999999996,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,43,2.9,3.5,1.7,low,medium,Very Low,2.6999999999999997,2.78,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Piperacillin-Tazobactam,Off Label,RX,39,2.75,2.63,2.75,low,low,Low,2.7099999999999995,2.726,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,25,3.36,2.45,2.73,medium,low,Low,2.846666666666667,3.0520000000000005,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Ciprofloxacin Hcl,Off Label,RX,22,3.57,3.43,3.0,medium,medium,Low,3.3333333333333335,3.428,Gastrointestinal,high
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,16,2.5,2.0,1.25,low,low,Very Low,1.9166666666666667,2.15,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,14,2.75,3.0,2.25,low,low,Low,2.6666666666666665,2.7,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,13,2.67,2.67,2.67,low,low,Low,2.67,2.67,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Meropenem,Off Label,RX,9,5.0,3.0,4.0,high,low,High,4.0,4.4,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Tigecycline,On Label,RX,9,3.0,2.33,2.67,low,low,Low,2.6666666666666665,2.8,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Metronidazole,Off Label,RX,7,3.0,4.0,2.0,low,medium,Very Low,3.0,2.9999999999999996,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Clindamycin Phosphate,Off Label,RX,6,4.5,4.0,4.0,high,medium,High,4.166666666666667,4.3,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Amikacin,On Label,RX,4,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Ampicillin-Sulbactam,Off Label,RX,3,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3,5.0,4.0,4.0,high,medium,High,4.333333333333333,4.6,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Clindamycin In 5 % Dextrose,Off Label,RX,3,3.0,5.0,3.0,low,high,Low,3.6666666666666665,3.4,Gastrointestinal,medium
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2,1.0,4.0,1.0,low,medium,Very Low,2.0,1.5999999999999999,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Metronidazole,Off Label,RX,2,3.0,3.0,3.0,low,low,Low,3.0,3.0,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Clindamycin Phosphate,Off Label,RX,2,2.0,3.0,1.0,low,low,Very Low,2.0,2.0,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Ampicillin-Sulbactam,Off Label,RX,2,1.0,5.0,1.0,low,high,Very Low,2.3333333333333335,1.8,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Metronidazole In Nacl (Iso-Os),Off Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1,2.0,2.0,2.0,low,low,Very Low,2.0,2.0,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Metronidazole,Off Label,RX,1,5.0,3.0,4.0,high,low,High,4.0,4.4,Gastrointestinal,low
Diverticulitis Of Gastrointestinal Tract,Ciprofloxacin In 5 % Dextrose,Off Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Gastrointestinal,low
Edema,Hydrochlorothiazide,On Label,RX,853,3.3,3.96,2.77,medium,medium,Low,3.3433333333333333,3.3259999999999996,Cardiovascular,high
Edema,Spironolactone,On Label,RX,378,3.88,4.36,3.5,medium,high,Medium,3.9133333333333336,3.9000000000000004,Cardiovascular,high
Edema,Furosemide,On Label,RX,224,3.05,4.16,2.97,medium,high,Low,3.393333333333333,3.2560000000000002,Cardiovascular,high
Edema,Furosemide,On Label,RX,196,3.21,4.01,2.99,medium,high,Low,3.4033333333333338,3.3259999999999996,Cardiovascular,high
Edema,Triamterene-Hydrochlorothiazid,On Label,RX,155,3.88,4.24,3.45,medium,high,Medium,3.856666666666667,3.866,Cardiovascular,high
Edema,Acetazolamide,On Label,RX,113,3.52,3.41,2.97,medium,medium,Low,3.3000000000000003,3.388,Cardiovascular,high
Edema,Acetazolamide,On Label,RX,95,3.69,3.27,2.81,medium,medium,Low,3.2566666666666664,3.4299999999999997,Cardiovascular,high
Edema,Spironolactone,On Label,RX,79,3.95,4.4,3.25,medium,high,Medium,3.866666666666667,3.9,Cardiovascular,high
Edema,Triamterene-Hydrochlorothiazid,On Label,RX,74,3.83,4.46,3.31,medium,high,Medium,3.8666666666666667,3.852,Cardiovascular,high
Edema,Chlorthalidone,On Label,RX,70,3.02,3.9,2.25,medium,medium,Low,3.0566666666666666,3.042,Cardiovascular,high
Edema,Torsemide,On Label,RX,43,3.85,4.1,3.1,medium,high,Medium,3.683333333333333,3.75,Cardiovascular,high
Edema,Triamterene-Hydrochlorothiazid,On Label,RX,38,3.46,4.21,3.18,medium,high,Medium,3.6166666666666667,3.5540000000000003,Cardiovascular,high
Edema,Bumetanide,On Label,RX,34,3.78,4.17,3.61,medium,high,High,3.853333333333333,3.824,Cardiovascular,high
Edema,Hydrochlorothiazide,On Label,RX,25,4.12,4.41,3.94,high,high,High,4.156666666666667,4.142,Cardiovascular,high
Edema,Bumetanide,On Label,RX,20,4.0,4.5,3.63,medium,high,High,4.043333333333333,4.026,Cardiovascular,high
Edema,Spironolacton-Hydrochlorothiaz,On Label,RX,18,3.27,3.67,3.0,medium,medium,Low,3.313333333333333,3.296,Cardiovascular,high
Edema,Torsemide,On Label,RX,15,3.17,3.0,2.67,medium,low,Low,2.9466666666666668,3.0359999999999996,Cardiovascular,medium
Edema,Ethacrynic Acid,On Label,RX,12,4.33,4.0,3.0,high,medium,Low,3.776666666666667,3.9979999999999998,Cardiovascular,medium
Edema,Spironolacton-Hydrochlorothiaz,On Label,RX,7,4.17,3.83,2.67,high,medium,Low,3.5566666666666666,3.8019999999999996,Cardiovascular,medium
Edema,Triamterene,On Label,RX,7,3.33,4.0,1.67,medium,medium,Very Low,3.0,3.132,Cardiovascular,medium
Edema,Amiloride-Hydrochlorothiazide,On Label,RX,7,2.33,2.33,2.0,low,low,Very Low,2.22,2.264,Cardiovascular,medium
Edema,Amiloride-Hydrochlorothiazide,On Label,RX,6,2.67,3.0,2.33,low,low,Low,2.6666666666666665,2.668,Cardiovascular,medium
Edema,Indapamide,On Label,RX,5,3.8,4.6,3.4,medium,high,Medium,3.933333333333333,3.88,Cardiovascular,medium
Edema,Hydrochlorothiazide,On Label,RX,5,3.33,3.67,3.0,medium,medium,Low,3.3333333333333335,3.3320000000000003,Cardiovascular,medium
Edema,Chlorothiazide,On Label,RX,4,3.0,5.0,3.0,low,high,Low,3.6666666666666665,3.4,Cardiovascular,medium
Edema,Furosemide,On Label,RX,2,2.0,5.0,1.0,low,high,Very Low,2.6666666666666665,2.4000000000000004,Cardiovascular,low
Edema,Triamterene-Hydrochlorothiazid,On Label,RX,2,3.0,5.0,3.0,low,high,Low,3.6666666666666665,3.4,Cardiovascular,low
Edema,Chlorthalidone,On Label,RX,2,1.0,5.0,1.0,low,high,Very Low,2.3333333333333335,1.8,Cardiovascular,low
Edema,Hydrochlorothiazide,On Label,RX,2,3.0,5.0,2.0,low,high,Very Low,3.3333333333333335,3.1999999999999997,Cardiovascular,low
Edema,Hydrochlorothiazide,On Label,RX,2,3.0,4.0,2.0,low,medium,Very Low,3.0,2.9999999999999996,Cardiovascular,low
Edema,"Triamterene-Hydrochlorothiazid, Trichlormethiazide",On Label,RX,2,2.0,1.0,1.0,low,low,Very Low,1.3333333333333333,1.5999999999999999,Cardiovascular,low
Edema,Triamterene-Hydrochlorothiazid,On Label,RX,1,2.0,1.0,1.0,low,low,Very Low,1.3333333333333333,1.5999999999999999,Cardiovascular,low
Edema,Spironolacton-Hydrochlorothiaz,On Label,RX,1,1.0,4.0,1.0,low,medium,Very Low,2.0,1.5999999999999999,Cardiovascular,low
Edema,Hydrochlorothiazide,On Label,RX,1,5.0,5.0,5.0,high,high,Very High,5.0,5.0,Cardiovascular,low
Edema,Furosemide,On Label,RX,1,2.0,2.0,2.0,low,low,Very Low,2.0,2.0,Cardiovascular,low
Edema,Hydrochlorothiazide,On Label,RX,1,1.0,1.0,1.0,low,low,Very Low,1.0,1.0,Cardiovascular,low
Edema,Bumetanide,On Label,RX,1,1.0,2.0,1.0,low,low,Very Low,1.3333333333333333,1.2,Cardiovascular,low
Edema,Hydrochlorothiazide,On Label,RX,1,5.0,5.0,4.0,high,high,High,4.666666666666667,4.8,Cardiovascular,low
Edema,Chlorthalidone,On Label,RX,1,4.0,4.0,4.0,medium,medium,High,4.0,4.0,Cardiovascular,low
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,619,4.2,4.2,2.8,high,high,Low,3.733333333333333,3.9200000000000004,Gynecological,high
Endometriosis,Medroxyprogesterone,Off Label,RX,450,4.36,4.22,2.5,high,high,Low,3.6933333333333334,3.96,Gynecological,high
Endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,359,4.07,4.44,2.64,high,high,Low,3.7166666666666672,3.858,Gynecological,high
Endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,357,3.69,4.13,2.58,medium,high,Low,3.466666666666667,3.556,Gynecological,high
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,353,4.06,4.06,2.33,high,high,Low,3.483333333333333,3.7139999999999995,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,246,4.14,4.26,2.79,high,high,Low,3.729999999999999,3.8939999999999992,Gynecological,high
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,211,3.87,3.96,1.83,medium,medium,Very Low,3.22,3.48,Gynecological,high
Endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,207,4.02,4.24,2.69,high,high,Low,3.65,3.798,Gynecological,high
Endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,191,4.11,4.16,2.32,high,high,Low,3.53,3.762,Gynecological,high
Endometriosis,Medroxyprogesterone,Off Label,RX,180,4.1,4.0,2.41,high,medium,Low,3.5033333333333334,3.742,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,166,4.1,4.46,2.85,high,high,Low,3.803333333333333,3.9219999999999997,Gynecological,high
Endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,156,3.83,4.04,2.52,medium,high,Low,3.4633333333333334,3.61,Gynecological,high
Endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,154,4.39,4.35,3.08,high,high,Medium,3.9399999999999995,4.12,Gynecological,high
Endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,133,3.19,3.99,2.06,medium,medium,Low,3.08,3.1239999999999997,Gynecological,high
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,113,4.3,4.45,2.45,high,high,Low,3.733333333333333,3.96,Gynecological,high
Endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,103,4.48,4.67,3.3,high,high,Medium,4.1499999999999995,4.282,Gynecological,high
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,99,3.83,4.1,2.44,medium,high,Low,3.4566666666666666,3.606,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,98,2.83,4.29,2.38,low,high,Low,3.1666666666666665,3.032,Gynecological,high
Endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,96,4.58,4.34,3.13,high,high,Medium,4.016666666666667,4.242,Gynecological,high
Endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,95,3.71,3.82,1.9,medium,medium,Very Low,3.143333333333333,3.37,Gynecological,high
Endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,95,3.11,3.55,1.38,medium,medium,Very Low,2.6799999999999997,2.8519999999999994,Gynecological,high
Endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,89,3.65,4.09,2.53,medium,high,Low,3.4233333333333333,3.5140000000000002,Gynecological,high
Endometriosis,Norethindrone Acetate,On Label,RX,88,3.81,4.33,3.5,medium,high,Medium,3.8800000000000003,3.8520000000000003,Gynecological,high
Endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,82,4.17,4.17,2.79,high,high,Low,3.7099999999999995,3.894,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,81,4.29,4.28,2.63,high,high,Low,3.733333333333333,3.9559999999999995,Gynecological,high
Endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,80,4.45,3.92,2.51,high,medium,Low,3.626666666666667,3.9559999999999995,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,79,4.48,4.38,3.15,high,high,Medium,4.003333333333333,4.194,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,77,3.88,3.88,2.33,medium,medium,Low,3.3633333333333333,3.5700000000000003,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,76,4.24,4.16,3.0,high,high,Low,3.8000000000000003,3.9760000000000004,Gynecological,high
Endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,76,4.09,4.27,2.77,high,high,Low,3.7099999999999995,3.862,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,72,4.08,3.95,2.4,high,medium,Low,3.476666666666667,3.718,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,70,4.43,4.35,2.53,high,high,Low,3.7699999999999996,4.034,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,67,4.52,4.36,2.8,high,high,Low,3.893333333333333,4.143999999999999,Gynecological,high
Endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,66,4.2,4.0,2.66,high,medium,Low,3.6199999999999997,3.8520000000000003,Gynecological,high
Endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,64,4.5,4.42,3.17,high,high,Medium,4.03,4.218,Gynecological,high
Endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,62,3.94,4.51,2.66,medium,high,Low,3.703333333333333,3.798,Gynecological,high
Endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,60,4.47,4.58,2.64,high,high,Low,3.896666666666667,4.1259999999999994,Gynecological,high
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,54,4.03,4.24,2.71,high,high,Low,3.66,3.808,Gynecological,high
Endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,54,3.48,3.8,2.12,medium,medium,Low,3.133333333333333,3.272,Gynecological,high
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,53,4.05,4.07,2.1,high,high,Low,3.4066666666666667,3.6639999999999997,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,52,4.38,4.62,2.97,high,high,Low,3.99,4.146,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,51,3.53,3.83,2.33,medium,medium,Low,3.23,3.35,Gynecological,high
Endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,48,3.62,4.21,2.26,medium,high,Low,3.3633333333333333,3.466,Gynecological,high
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,46,4.1,4.67,3.33,high,high,Medium,4.033333333333333,4.06,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,42,2.64,2.58,1.31,low,low,Very Low,2.176666666666667,2.362,Gynecological,high
Endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,41,3.68,3.95,2.27,medium,medium,Low,3.3000000000000003,3.4520000000000004,Gynecological,high
Endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,35,4.31,4.06,2.13,high,high,Low,3.5,3.824,Gynecological,high
Endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,34,4.32,4.28,2.84,high,high,Low,3.813333333333334,4.016,Gynecological,high
Endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,32,3.39,3.96,2.22,medium,medium,Low,3.19,3.2699999999999996,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,32,4.5,4.75,3.5,high,high,Medium,4.25,4.35,Gynecological,high
Endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,32,4.52,4.19,2.0,high,high,Very Low,3.5700000000000003,3.9499999999999997,Gynecological,high
Endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,26,4.76,4.71,2.94,high,high,Low,4.136666666666666,4.386,Gynecological,high
Endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,26,4.08,4.46,3.62,high,high,High,4.053333333333334,4.064,Gynecological,high
